File.Name,Region.of.Interest,Number.Seminal.Roots,RSA.Angle,Root.Dry.Mass.g,Shoot.Dry.Mass.g,Median.Number.of.Roots,Maximum.Number.of.Roots,Number.of.Root.Tips,Total.Root.Length.mm,Depth.mm,Maximum.Width.mm,Width-to-Depth.Ratio,Network.Area.mm2,Convex.Area.mm2,Solidity,Lower.Root.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Holes,Average.Hole.Size.mm2,Computation.Time.s,Average.Root.Orientation.deg,Shallow.Angle.Frequency,Medium.Angle.Frequency,Steep.Angle.Frequency,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
A1_B4_20260315016_seg.png,Full,32,67.74,1.343,2.1044,49,87,487,29877.39256,189.0395,195.961,1.036614,12419.87032,26702.45869,0.465121,1811.556861,0.846439,0.635,7.318771,30584.70957,28970.49231,78717.26942,14184,0.369022,23.064,44.340406,0.339082,0.33852,0.322398,8.085969,11903.24701,17966.05958,0,3344.835626,21698.25034,0,10512.52644,68204.74298,0,844.252283,28126.24002
A2_B4_20260315016_seg.png,Full,32,68.04,1.0993,2.1682,44.5,94,325,29936.35831,175.768,164.6555,0.936777,12896.40566,24380.07826,0.528973,2061.455555,0.926799,0.683916,7.636915,26568.51224,34102.44693,86618.13164,14716,0.236472,18.501,45.124338,0.320594,0.351178,0.328228,8.534982,10590.98434,19336.83899,0,2998.766739,24559.71925,0,9424.660561,77193.47108,0,762.105951,33340.34097
A3_B4_20260315016_seg.png,Full,25,61.78,1.0637,1.9355,56,94,466,29496.51314,184.8485,166.4335,0.900378,11803.47236,20629.34584,0.572169,9432.827908,0.796312,0.635,5.730501,30935.79385,24552.93591,73044.23392,14680,0.344281,18.387,45.454079,0.321841,0.339629,0.33853,8.493272,12197.26154,17290.75833,0,3422.234154,19812.41104,0,10756.10924,62288.12468,0,863.02021,23689.9157
A4_B4_20260315016_seg.png,Full,23,67.82,0.9052,1.237,59,99,518,27768.09103,176.53,170.8785,0.967986,10242.06419,22077.84899,0.463907,3248.154794,0.717728,0.523634,7.328682,31020.42242,18752.57634,61718.04195,14163,0.422732,18.458,45.406237,0.322286,0.33928,0.338434,7.934536,12635.58462,15124.57188,0,3505.89878,16126.48396,0,11017.93612,50700.10583,0,876.942467,17875.63387
A5_B4_20260315016_seg.png,Full,26,57.72,1.1378,1.3215,44,94,344,23428.91454,176.149,131.572,0.746936,9106.251949,17237.95343,0.528268,567.047253,0.77134,0.567961,6.347459,24603.99736,17797.69061,56034.18845,12021,0.276394,14.834,45.33459,0.321433,0.342669,0.335897,7.229654,9877.487998,13544.19689,0,2792.979306,15033.41685,0,8777.506944,47256.6815,0,707.858438,17089.83217
A6_B4_20260315016_seg.png,Full,19,54.68,0.5425,0.9144,33,72,364,14439.5242,174.0535,133.9215,0.769427,5172.957396,14612.22279,0.354016,351.132362,0.626526,0.457905,5.236344,19244.5858,7927.46245,28086.08139,7265,0.433425,5.599,45.804526,0.315906,0.335467,0.348628,4.66709,7701.059843,6733.797267,0,2089.309244,6845.623372,0,6566.832994,21519.2484,0,512.925699,7414.536751
D1_B4_20260315016_seg.png,Full,30,86.58,1.027,1.3813,58,116,509,32167.08147,184.4675,151.3205,0.82031,12230.39893,22682.40826,0.539202,11807.10139,0.7548,0.538815,5.250187,34896.02344,24124.12595,75432.66747,16701,0.313881,26.849,44.960477,0.329621,0.338244,0.332135,9.846692,14147.65817,18009.57661,0,3974.653777,20019.17973,0,12492.00045,62940.66702,0,1002.723826,23121.40212
D2_B4_20260315016_seg.png,Full,20,76.3,0.5088,1.1898,57,102,458,27890.45911,185.7375,137.9855,0.742906,9881.693946,19638.38814,0.503183,1271.195038,0.677169,0.523634,5.299112,31930.83933,16016.41846,58386.33466,14920,0.331918,23.583,45.543953,0.318096,0.344199,0.337705,12.987138,13236.90559,14640.56637,0,3696.51637,14873.59391,0,11618.23813,46768.09653,0,928.908659,15087.50981
D3_B4_20260315016_seg.png,Full,25,83.49,0.7551,1.239,33,67,211,24600.35426,177.673,135.001,0.759828,12927.17979,18632.30951,0.693804,9737.569234,1.201003,0.813197,10.613432,19708.26978,52621.50568,93029.8198,10728,0.240218,12.18,44.432492,0.332207,0.349155,0.318638,6.37972,7233.97665,17359.99789,0,2109.489901,27492.20082,0,6629.524086,86400.29571,0,547.09581,52074.40987
D4_B4_20260315016_seg.png,Full,24,67.21,0.8724,1.1013,55,87,417,23509.15259,171.8945,159.639,0.928703,8594.587649,21099.28643,0.40734,1825.113285,0.70073,0.523634,5.854411,27055.52997,15011.35971,51045.08993,12338,0.394516,16.171,45.355851,0.320893,0.345641,0.333466,0,10898.83239,12610.3202,0,3044.146561,13193.42263,0,9568.989668,41476.10026,0,765.171125,14246.18859
D5_B4_20260315016_seg.png,Full,22,62.37,0.6222,0.8587,33,64,254,19980.48766,183.5785,110.871,0.603943,9194.570321,15362.72331,0.598499,969.651286,0.964617,0.647575,11.775441,19929.20287,28825.88295,60459.80035,9196,0.348805,9.505,44.767298,0.329108,0.344699,0.326193,4.566392,7263.014178,12712.90709,0,2108.461219,17129.47391,0,6626.112874,53833.68747,0,543.840806,28282.04215
D6_B4_20260315016_seg.png,Full,23,58.04,0.7931,1.0931,42,74,381,23914.70209,187.96,120.65,0.641892,8935.55471,19273.12678,0.463628,6061.181426,0.739743,0.567961,5.119533,25696.11223,16567.52692,54784.88742,12369,0.304497,14.951,44.767365,0.332088,0.338179,0.329732,6.839628,10425.69561,13482.16685,0,2949.040025,14476.89226,0,9268.752485,45516.13494,0,747.505686,15820.02123
D7_B4_20260315016_seg.png,Full,28,66.05,0.6192,1.0735,42,86,399,21602.49007,175.8315,119.126,0.677501,8071.931437,15832.37156,0.509837,4695.365609,0.71458,0.523634,5.060914,24630.15633,14307.60621,47847.96314,11084,0.384632,11.643,45.383353,0.321985,0.338311,0.339704,5.882615,9878.451425,11718.15603,0,2745.382352,12475.46669,0,8628.862552,39219.10059,0,687.692474,13619.91374
D8_B4_20260315016_seg.png,Full,20,78.93,0.627,1.052,38,81,477,17536.69735,186.7535,126.5555,0.677661,6090.028143,18315.46942,0.332507,806.151613,0.644389,0.457905,7.025293,22560.03006,10615.4513,35047.17809,8751,0.351111,9.009,45.143954,0.328662,0.336316,0.335022,5.825497,9213.230543,8317.641306,0,2486.182044,8662.179503,0,7814.896467,27232.28163,0,609.224865,10006.22643
D9_B4_20260315016_seg.png,Full,21,70.45,0.8562,1.255,45,91,569,21032.75407,183.642,131.0005,0.713347,7384.795714,19580.35398,0.377153,455.910378,0.617035,0.457905,7.0779,28082.95737,10650.6874,40106.6919,10445,0.423456,14.784,46.224892,0.310061,0.337645,0.352294,0.0635,10904.40811,10128.28246,0,3024.442483,9732.957311,0,9505.6307,30601.0612,0,755.633682,9895.053718
K1_B4_20260315016_seg.png,Full,24,62.11,1.2017,1.924,44,82,327,26246.61824,194.3735,139.827,0.719373,11406.43686,19778.32738,0.576714,1091.159108,0.916546,0.647575,6.793016,25348.513,30789.39019,75167.11998,12511,0.351396,17.752,45.152975,0.322304,0.346327,0.331369,7.161641,9788.852815,16450.60378,0,2764.864682,21150.39478,0,8689.270692,66477.84929,0,701.993571,30087.39662
K2_B4_20260315016_seg.png,Full,21,50.4,1.0212,1.411,46,100,440,32557.69936,211.201,139.7635,0.661756,13217.1026,22938.77066,0.576191,3272.182972,0.856002,0.635,7.337479,30796.45367,31832.21342,86848.21078,16473,0.237959,43.902,45.439364,0.322825,0.337404,0.339772,10.153297,12467.96027,20079.58579,0,3539.074328,24088.84095,0,11124.31146,75723.89932,0,902.140784,30930.07263
K3_B4_20260315016_seg.png,Full,17,63.37,1.0378,1.5278,47,123,533,32215.80941,188.0235,193.167,1.027356,12794.41393,25384.56415,0.504023,1413.517334,0.812193,0.567961,8.105148,33929.82304,30616.29847,81653.83632,15718,0.37966,44.195,45.780786,0.313554,0.343503,0.342943,8.683772,14025.469,18181.65663,0,3874.194113,22102.23534,0,12176.20865,69477.62768,0,965.676918,29650.62156
K4_B4_20260315016_seg.png,Full,24,50.92,0.8627,1.7385,39,77,254,29029.5845,199.009,128.9685,0.648054,13061.76017,19249.99376,0.678533,863.784563,1.000749,0.740531,7.213332,23961.5161,39973.41235,91004.84795,14085,0.242577,30.007,45.259413,0.323422,0.340939,0.33564,8.462456,9671.220431,19349.90162,0,2780.868365,26171.40588,0,8741.291732,82263.55622,0,715.28755,39258.1248
