File.Name,Region.of.Interest,Median.Number.of.Roots,Maximum.Number.of.Roots,Number.of.Root.Tips,Total.Root.Length.mm,Depth.mm,Maximum.Width.mm,Width-to-Depth.Ratio,Network.Area.mm2,Convex.Area.mm2,Solidity,Lower.Root.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Holes,Average.Hole.Size.mm2,Computation.Time.s,Average.Root.Orientation.deg,Shallow.Angle.Frequency,Medium.Angle.Frequency,Steep.Angle.Frequency,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3
D16_B2_DP1S2_seg.png,roi_1,2,6,8,143.231003,52.67325,9.55675,0.181435,16.036258,251.617944,0.063733,9.315506,0.135832,0.127,0.381,268.921787,2.427988,60.773114,105,0.043423,0.351,74.209233,0.033216,0.092344,0.874441,44.86614,98.364863,3.167558,16.16572,9.951176,50.821937,0.180585,2.247403
D16_B2_DP1S3_seg.png,roi_1,2,10,15,221.068985,59.4995,19.14525,0.321772,33.285216,704.604942,0.04724,29.848731,0.188092,0.14199,0.827939,409.818206,8.799081,130.614322,71,0.037497,0.446,71.886685,0.069211,0.170709,0.76008,54.030769,167.038216,3.741486,37.805427,11.754226,118.860097,0.208986,8.590095
D16_B2_DP2S2_seg.png,roi_1,2,6,9,181.0117,63.8175,11.811,0.185075,30.480786,354.349594,0.086019,28.972724,0.21965,0.1905,1.025874,321.704053,10.216949,124.156132,56,0.754625,0.341,71.519416,0.075345,0.109471,0.815184,28.57062,152.44108,2.048258,37.456511,6.434793,117.721338,0.1188,10.098149
D16_B2_DP2S3_seg.png,roi_1,2,12,17,357.529694,77.9145,11.1125,0.142624,51.591631,576.953987,0.089421,45.662207,0.193269,0.179605,1.79268,641.385584,18.552255,214.394654,184,0.136231,0.393,70.31332,0.092148,0.129139,0.778713,104.477979,253.051715,7.221103,61.004381,22.685765,191.708888,0.401864,18.150392
D16_B2_DP2S4_seg.png,roi_1,2,20,14,361.735527,77.75575,21.082,0.271131,54.011989,1002.089226,0.053899,51.298285,0.208379,0.1905,1.016,571.421935,17.713017,236.824459,405,0.01879,0.428,56.885625,0.204296,0.268201,0.527503,73.752391,287.983136,5.305557,69.979911,16.70373,220.120729,0.313074,17.399944
D16_B2_DP3S2_seg.png,roi_1,1,15,7,144.554222,37.7825,27.051,0.715966,29.372925,490.876034,0.059838,24.463661,0.302873,0.254,0.954614,220.525535,14.487854,136.085108,86,0.009506,0.403,57.525866,0.15499,0.346449,0.49856,15.921837,128.632385,1.108527,42.208708,3.48254,132.602567,0.063191,14.424663
D16_B2_DP4S1_seg.png,roi_1,3,15,20,311.058456,65.2145,22.19325,0.340312,46.315432,954.851921,0.048505,16.016097,0.17933,0.14199,0.764641,580.112785,10.662287,173.922416,106,0.371462,0.385,69.833472,0.073631,0.158572,0.767798,79.005,232.053456,5.596029,49.754985,17.598357,156.324058,0.320628,10.341659
D16_B2_DP5S1_seg.png,roi_1,3,12,20,318.562738,73.0885,27.432,0.375326,44.153138,1089.446914,0.040528,42.460601,0.164199,0.127,0.863693,614.842905,9.868711,163.648411,66,0.280486,0.443,70.960006,0.050395,0.155248,0.794357,114.65555,203.907189,8.181243,43.893399,25.702134,137.946276,0.472111,9.396599
D16_B2_KP1S1_seg.png,roi_1,2,6,10,149.032482,62.57925,11.176,0.17859,24.132008,410.449784,0.058794,23.42334,0.182098,0.179605,0.647575,295.28537,4.99019,85.525258,26,0.207932,0.346,79.532867,0.015228,0.034149,0.950623,30.258043,118.774439,2.172912,25.031517,6.835362,78.689896,0.126654,4.863536
D16_B2_KP1S2_seg.png,roi_1,3,7,14,282.085301,81.43875,18.00225,0.221053,50.669254,940.987029,0.053847,50.669254,0.215183,0.200805,1.041477,531.301222,13.200612,189.432153,75,0.083414,0.519,75.503503,0.043426,0.073508,0.883066,50.624493,231.460808,3.461828,56.82903,10.875654,178.556499,0.191197,13.009415
D16_B2_KP2S3_seg.png,roi_1,3,15,36,527.590808,85.2805,43.053,0.50484,101.10262,2115.250306,0.047797,99.565325,0.251796,0.200805,0.993932,901.153384,35.748842,415.751763,280,0.047134,0.635,66.058054,0.11975,0.191132,0.689117,85.101774,442.489034,6.010964,126.255316,18.892957,396.858806,0.344572,35.40427
D16_B2_KP2S4_seg.png,roi_1,2,8,15,238.179431,64.5795,7.239,0.112094,34.201544,271.469215,0.125987,32.818483,0.184419,0.127,1.047269,437.314253,9.757223,136.213833,66,0.344101,0.394,74.497949,0.046542,0.12645,0.827008,74.785989,163.393442,5.248287,38.109923,16.48798,119.725853,0.297169,9.460054
D16_B2_KP3S1_seg.png,roi_1,3,18,21,401.187371,65.4685,12.92225,0.197381,61.746852,535.171309,0.115378,31.39409,0.247603,0.1905,1.894387,596.499148,36.536569,309.781092,337,0.061049,0.382,61.146759,0.15361,0.246125,0.600265,87.806586,313.380786,6.251273,92.297389,19.663204,290.117888,0.361777,36.174792
D16_B2_KP3S2_seg.png,roi_1,2,7,1,56.451472,23.01875,4.41325,0.191724,8.655225,39.092664,0.221403,7.673372,0.21149,0.1905,1.125223,96.622058,3.329303,37.210677,30,0.087466,0.229,71.098841,0.103651,0.127208,0.76914,7.754543,48.696929,0.563694,11.280832,1.770898,35.439779,0.03314,3.296163
D16_B2_KP4S1_seg.png,roi_1,1,11,5,130.18907,46.64075,18.4785,0.396188,22.982817,383.57635,0.059917,20.437459,0.232648,0.200805,0.827939,209.920488,7.254396,95.944662,132,0.073283,0.45,54.468189,0.210594,0.309044,0.480362,16.193888,113.995182,1.151296,29.361451,3.625859,92.318803,0.069408,7.184988
D16_B2_MP1S2_seg.png,roi_1,1,13,5,197.378878,61.0235,16.47825,0.270031,38.534197,488.296906,0.078916,36.621903,0.281916,0.200805,1.661954,325.293777,19.916942,174.278315,122,0.134039,0.301,65.72891,0.114196,0.195071,0.690732,23.968352,173.410526,1.761672,53.702628,5.534455,168.743859,0.104965,19.811976
D16_B2_MP1S4_seg.png,roi_1,1,9,8,211.126694,69.0245,13.87475,0.201012,39.316454,499.327126,0.078739,34.233803,0.284824,0.200805,1.648556,335.773146,23.513763,186.845516,120,0.020783,0.31,66.290016,0.127062,0.161685,0.711253,32.991026,178.135668,2.418597,57.02768,7.598247,179.247269,0.143936,23.369827
D16_B2_MP2S3_seg.png,roi_1,1,12,12,307.264771,75.819,10.795,0.142379,47.64809,441.571193,0.107906,46.04023,0.214054,0.1905,1.373715,519.964105,15.90563,203.790395,222,0.161776,0.354,67.813172,0.107352,0.167496,0.725152,54.737426,252.527345,3.993447,60.832017,12.55474,191.235655,0.237247,15.668384
D16_B2_MP2S4_seg.png,roi_1,4,12,13,234.722779,36.98875,14.63675,0.395708,35.978759,406.213401,0.088571,29.430385,0.218938,0.179605,1.402761,406.945884,16.018005,160.339002,107,0.202206,0.261,67.545664,0.113114,0.1537,0.733187,58.506263,176.216516,4.233623,46.795312,13.309277,147.029725,0.24854,15.769465
D16_B2_TP1S2_seg.png,roi_1,1,8,4,131.342058,68.86575,8.85825,0.128631,21.871932,346.326424,0.063154,18.340689,0.210661,0.1905,0.835212,237.553937,6.190281,86.327799,32,0.381678,0.223,74.184917,0.065467,0.081899,0.852634,11.512713,119.829345,0.854565,26.624427,2.684695,83.643105,0.051331,6.13895
D16_B3_AP1S2_seg.png,roi_1,2,7,15,156.429911,49.05375,5.93725,0.121036,16.982829,172.354494,0.098534,16.139081,0.137045,0.127,0.683916,291.242839,3.466334,67.32728,113,0.142583,0.23,76.24462,0.063142,0.057478,0.879379,70.806665,85.623246,4.84567,16.582418,15.232078,52.095202,0.268634,3.197701
D16_B3_AP1S3_seg.png,roi_1,2,5,5,94.643797,41.11625,25.8445,0.628571,17.953593,370.90198,0.048405,16.788273,0.222127,0.200805,0.8255,180.254412,4.892157,66.750819,35,0.013854,0.239,62.688312,0.077331,0.315011,0.607657,14.391068,80.252729,1.034074,20.213372,3.248638,63.502181,0.060053,4.832105
D16_B3_AP1S4_seg.png,roi_1,2,10,8,121.296426,38.989,23.52675,0.60342,22.161246,379.493697,0.058397,19.494921,0.236965,0.200805,0.969285,212.148595,7.533595,90.425363,73,0.010233,0.259,56.601521,0.165282,0.303638,0.53108,20.230264,101.066162,1.455814,27.316068,4.573576,85.851788,0.08468,7.448915
D16_B3_AP2S1_seg.png,roi_1,1,7,16,162.498126,59.2455,17.0815,0.288317,22.678382,418.87013,0.054142,21.638062,0.176324,0.14199,1.198116,304.73456,6.466181,91.26979,56,0.004734,0.23,74.390956,0.050691,0.062212,0.887097,51.715435,110.782691,3.438218,25.567795,10.80148,80.468309,0.183243,6.282938
D16_B3_BP1S2_seg.png,roi_1,1,6,8,111.024861,72.136,10.38225,0.143926,24.610838,330.693895,0.074422,23.779186,0.253459,0.228953,0.847196,215.762996,7.090307,88.558958,19,0.003343,0.221,74.105954,0.030561,0.111216,0.858223,8.072043,102.952818,0.591836,27.597356,1.859308,86.69965,0.035107,7.0552
D16_B3_BP1S3_seg.png,roi_1,1,5,9,147.645735,65.75425,33.17875,0.504587,30.646108,1088.315364,0.028159,29.604779,0.245136,0.254,1.086945,279.879342,9.191329,114.308323,38,0.009921,0.294,65.877123,0.11964,0.185975,0.694385,23.203321,124.442414,1.679248,34.6757,5.275513,109.032809,0.098267,9.093062
D16_B3_BP1S4_seg.png,roi_1,1,6,5,88.753826,48.35525,6.223,0.128693,12.739894,170.626171,0.074666,12.009049,0.163334,0.127,0.808223,173.210668,2.544826,45.537633,10,0.013004,0.243,79.473251,0.040816,0.038549,0.920635,20.311588,68.442238,1.358705,13.136374,4.268496,41.269137,0.072623,2.472203
D16_B3_BP2S1_seg.png,roi_1,2,7,7,91.957772,48.8315,5.7785,0.118336,12.401185,160.743126,0.077149,11.599775,0.158103,0.127,0.71842,181.639118,2.386056,45.458068,16,0.00126,0.207,78.221719,0.048816,0.050273,0.900911,18.19562,73.762152,1.243667,13.226086,3.907094,41.550973,0.068936,2.317121
D16_B3_BP3S1_seg.png,roi_1,1,8,9,170.893571,78.89875,25.146,0.318712,30.298327,999.995984,0.030298,29.496917,0.216344,0.1905,1.170882,319.416637,9.367185,117.260006,47,0.009995,0.302,70.230695,0.059388,0.16449,0.776122,30.670793,140.222778,2.178926,35.146094,6.845297,110.414709,0.124985,9.2422
D16_B3_BP4S1_seg.png,roi_1,1,9,8,239.669784,84.35975,17.04975,0.202108,39.784195,712.203213,0.055861,38.323512,0.192951,0.14199,1.092495,447.08759,10.588173,148.086845,144,0.279905,0.279,72.945239,0.047444,0.137374,0.815182,54.240481,185.429303,3.885347,43.240754,12.206179,135.880666,0.225451,10.362721
D16_B3_KP1S1_seg.png,roi_1,3,6,8,146.762022,38.44925,28.98775,0.753922,25.997932,706.875098,0.036779,25.481804,0.202753,0.1905,0.653773,270.050475,6.401696,95.677166,68,0.043643,0.26,68.847757,0.088041,0.186911,0.725047,31.250932,115.511091,2.175788,28.273497,6.83544,88.841727,0.122352,6.279344
D16_B3_KP2S1_seg.png,roi_1,2,7,14,225.926829,62.64275,6.44525,0.102889,30.429375,232.254072,0.131018,28.76708,0.165399,0.127,1.077631,423.325068,7.110069,117.069331,86,0.550672,0.252,77.077969,0.053595,0.068803,0.877602,63.46658,162.460249,4.37615,32.875044,13.757039,103.312292,0.243343,6.866726
D16_B3_KP2S2_seg.png,roi_1,2,7,9,206.967245,75.53325,23.0505,0.30517,36.60779,1031.040277,0.035506,34.095698,0.201442,0.1905,0.764641,392.780927,8.938249,133.15573,102,0.002649,0.274,76.935794,0.046387,0.089844,0.86377,48.266194,158.701051,3.414993,38.969792,10.728516,122.427214,0.196748,8.741501
D16_B3_TP1S2_seg.png,roi_1,1,6,8,128.019363,48.54575,14.9225,0.30739,18.214681,390.289038,0.04667,16.970732,0.173185,0.127,1.285777,247.612919,5.119613,69.100347,9,0.158378,0.204,75.131044,0.029229,0.081732,0.889039,26.166032,101.853331,1.837984,20.15734,5.774196,63.326151,0.10411,5.015503
D17_B1_AP1S3_seg.png,roi_1,2,16,11,553.301843,88.67775,34.57575,0.389903,100.878831,2015.231353,0.050058,97.880853,0.292987,0.228953,2.025043,824.119656,67.568166,510.494673,632,0.018571,0.383,58.496215,0.181621,0.240399,0.577979,94.661848,458.639995,6.87125,155.587149,21.595625,488.899048,0.406533,67.161633
D17_B1_AP2S4_seg.png,roi_1,3,8,13,223.276304,61.087,12.192,0.199584,30.307399,393.579858,0.077004,28.991878,0.1675,0.127,1.392664,427.500832,8.042385,117.41364,47,2.073091,0.233,73.430141,0.038109,0.135791,0.8261,69.411373,153.86493,4.92673,32.447192,15.47778,101.935861,0.282867,7.759518
D17_B1_AP3S1_seg.png,roi_1,3,11,15,363.086691,78.1685,41.021,0.524777,54.401101,1819.722671,0.029895,46.239827,0.218476,0.14199,1.977696,622.610639,29.20969,248.715686,201,0.044932,0.352,64.355863,0.113723,0.256539,0.629738,91.690046,271.396645,6.570834,72.5786,20.6608,228.054886,0.38379,28.8259
D17_B1_AP3S2_seg.png,roi_1,3,14,18,330.002699,86.45525,21.87575,0.25303,52.636992,1182.680598,0.044507,4.793337,0.222336,0.14199,2.246859,583.001194,28.373629,228.985337,133,0.254752,0.292,67.756394,0.120467,0.166133,0.7134,65.902144,264.100555,4.755517,68.129928,14.948856,214.036481,0.27791,28.095718
D17_B1_AP5S1_seg.png,roi_1,1,19,8,218.790821,85.18525,29.94025,0.351472,41.601731,1274.013581,0.032654,4.149185,0.239891,0.1905,1.2065,393.873363,16.253468,164.591793,89,0.13465,0.334,65.677232,0.115098,0.235434,0.649468,41.317457,177.473364,2.86929,49.516202,9.01414,155.577653,0.160968,16.0925
D17_B1_BP1S3_seg.png,roi_1,2,11,27,374.553114,83.7565,23.114,0.275967,56.541218,1258.632059,0.044923,50.597681,0.210595,0.1905,0.943995,632.64428,18.792558,242.940261,180,0.150011,0.28,64.397024,0.135911,0.197057,0.667032,94.812054,279.74106,6.689262,70.591505,21.023893,221.916368,0.381948,18.41061
D17_B1_BP1S4_seg.png,roi_1,2,9,20,237.293434,75.311,31.71825,0.421164,40.203549,1198.122604,0.033555,39.00597,0.213725,0.1905,1.023907,431.779804,12.505736,159.314458,104,0.090987,0.321,67.406306,0.081671,0.230456,0.687873,60.627679,176.665755,4.296172,46.390369,13.512115,145.802343,0.246896,12.25884
