OTU	barcode01.k2.0.1.gtdb.report	barcode02.k2.0.1.gtdb.report	barcode03.k2.0.1.gtdb.report	barcode04.k2.0.1.gtdb.report	barcode05.k2.0.1.gtdb.report	barcode06.k2.0.1.gtdb.report	barcode07.k2.0.1.gtdb.report	barcode08.k2.0.1.gtdb.report	barcode09.k2.0.1.gtdb.report	barcode10.k2.0.1.gtdb.report	barcode11.k2.0.1.gtdb.report	barcode12.k2.0.1.gtdb.report	barcode13.k2.0.1.gtdb.report	barcode14.k2.0.1.gtdb.report	barcode15.k2.0.1.gtdb.report	barcode16.k2.0.1.gtdb.report	barcode17.k2.0.1.gtdb.report	barcode18.k2.0.1.gtdb.report	barcode19.k2.0.1.gtdb.report	barcode20.k2.0.1.gtdb.report	barcode21.k2.0.1.gtdb.report	barcode22.k2.0.1.gtdb.report	barcode23.k2.0.1.gtdb.report	barcode24.k2.0.1.gtdb.report
OTU1	8651	5892	9977	2194	5590	11261	5037	11454	6708	8335	10721	6737	7626	4798	9168	9349	3363	8661	6987	10012	5528	7928	55	40
OTU2	24077	63460	26079	11329	12265	29719	11519	24222	16089	17760	24057	14205	48008	9147	22005	21391	7371	19841	17125	56775	12580	18384	95	110
OTU3	14970	174167	9416	3030	5022	12232	5062	10558	6762	7712	9752	5221	8480	3985	8147	9326	3148	7896	9120	41919	5507	9378	38	45
OTU4	9045	6450	6626	1929	3652	9511	3566	8085	5126	5496	7240	4134	6647	3219	6433	6839	2395	6565	6283	7289	4523	6201	43	41
OTU5	16067	12741	11433	3230	5905	25592	6317	12257	15504	8489	10508	9926	14229	4921	15435	10565	3259	11742	15711	18100	12062	19062	61	66
OTU6	1620	466	708	259	653	1361	1220	1453	802	856	553	655	3681	1044	811	1309	116	704	3438	2842	1361	3610	9	3
OTU7	2970	369	496	224	1057	439	1399	2225	197	1378	563	263	4519	1526	351	561	46	59	1908	1780	1490	5637	11	11
OTU8	420	346	97	53	142	159	160	294	104	192	174	70	388	138	78	247	42	70	259	248	196	1026	0	2
OTU9	148	22	49	91	123	82	48	89	25	67	62	145	166	73	17	106	12	17	169	268	125	103	0	0
OTU10	92	61	86	32	33	60	33	75	34	29	69	37	43	17	27	48	19	49	63	88	34	41	0	0
OTU11	74	43	72	23	51	329	45	77	286	60	55	233	92	34	258	62	7	270	49	119	319	330	0	1
OTU12	43	46	20	0	6	6	15	50	39	15	6	1	6	0	3	6	3	7	26	21	20	210	0	0
OTU13	42	26	58	16	36	342	34	69	237	59	78	160	133	25	121	81	8	208	77	143	180	312	0	2
OTU14	42	22	81	8	21	345	12	45	192	9	13	191	32	9	170	23	6	247	34	46	257	63	0	1
OTU15	41	5	14	5	15	24	28	35	12	14	15	4	87	20	6	34	5	4	91	69	23	40	0	0
OTU16	36	28	10	3	17	71	31	35	23	12	19	39	72	13	32	29	5	30	32	38	53	173	1	2
OTU17	29	2	4	0	1	42	1	0	24	23	4	17	2	2	17	0	2	15	5	2	19	579	0	0
OTU18	17	10	7	6	2	128	3	9	92	4	4	92	9	2	31	4	0	27	8	9	24	56	1	0
OTU19	16	17	14	1	7	14	6	13	13	4	14	1	8	4	12	3	2	3	8	22	15	70	0	0
OTU20	14	3	3	3	2	11	5	5	8	5	2	7	2	3	5	6	0	11	6	3	7	24	0	0
OTU21	11	8	7	4	12	48	13	18	38	19	14	45	21	4	50	13	3	50	12	20	63	74	0	0
OTU22	9	4	4	4	3	106	4	13	35	11	7	29	18	3	30	8	3	61	6	11	107	36	0	0
OTU23	9	10	2	3	0	0	9	16	4	13	5	1	26	7	0	10	1	3	20	53	6	70	0	0
OTU24	9	14	12	1	5	49	2	7	13	4	2	29	6	0	18	10	2	93	13	20	24	136	0	0
OTU25	8	0	0	0	0	2	0	1	2	0	2	2	6	1	1	0	0	2	0	3	4	7	0	0
OTU26	6	6	8	0	1	10	6	25	12	4	1	9	9	4	12	0	1	13	6	11	16	21	0	0
OTU27	3	2	0	0	0	0	2	2	0	0	3	1	1	1	1	0	0	5	0	3	3	14	0	0
OTU28	3	10	2	2	4	8	5	13	8	6	7	7	4	0	11	7	2	10	6	8	9	23	0	0
OTU29	2	0	1	0	1	2	1	2	1	3	3	4	1	2	4	1	0	2	6	7	1	6	0	0
OTU30	2	0	3	0	0	3	2	1	4	0	1	4	6	1	3	2	0	2	0	1	7	0	0	0
OTU31	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	1	2	3	0	0
OTU32	2	0	0	0	0	2	0	1	3	0	0	6	0	0	6	0	0	0	1	0	3	0	0	0
OTU33	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU34	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU35	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
OTU36	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0
OTU37	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
OTU38	1	1	0	0	2	2	0	0	2	0	2	2	3	1	5	2	0	1	1	0	7	8	0	0
OTU39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
OTU41	1	2	3	0	0	4	1	1	4	1	1	1	1	0	4	4	0	4	0	0	2	4	0	0
OTU42	2444	1574	869	182	514	1978	146	789	1360	347	1278	890	1183	68	1096	1020	98	1106	422	684	925	312	5	3
OTU43	336	206	46	6	20	76	6	35	67	32	12	16	12	3	13	2	0	28	20	23	24	4	0	0
OTU44	305	46	54	54	63	141	73	260	44	230	285	47	317	86	127	146	60	172	836	69	83	439	0	0
OTU45	28	29	104	13	29	31	28	17	17	9	24	17	15	10	65	42	17	17	65	54	23	6	0	0
OTU46	14	14	18	1	3	17	1	9	8	4	7	4	9	0	9	21	2	8	7	14	19	0	0	0
OTU47	10	5	3	0	1	1	0	0	1	3	1	2	4	1	0	4	0	2	1	0	1	0	0	0
OTU48	10	5	0	0	2	2	1	1	2	1	1	1	0	0	1	0	0	3	2	2	1	0	0	0
OTU49	8	2	10	1	8	11	0	4	4	13	140	4	14	0	4	12	0	6	0	2	9	1	0	0
OTU50	7	6	3	1	1	5	0	1	2	0	2	0	2	0	2	1	0	1	3	4	2	2	0	0
OTU51	5	1	1	1	0	1	2	0	1	3	4	3	0	0	0	0	0	2	0	0	0	0	0	0
OTU52	2	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU53	2	1	1	0	0	1	1	0	1	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0
OTU54	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0
OTU55	2	3	3	2	3	9	0	6	2	5	3	2	8	0	4	5	2	7	1	2	5	1	0	0
OTU56	1	0	2	0	1	1	0	0	2	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0
OTU57	1	1	0	0	0	4	0	0	2	0	0	4	1	0	0	2	0	0	1	0	2	2	0	0
OTU58	1253	761	410	59	169	522	172	458	159	634	737	475	222	71	113	105	120	531	556	510	263	155	2	2
OTU59	166	76	39	2	3	4	16	55	3	55	79	3	31	10	3	7	2	31	48	22	10	19	0	0
OTU60	68	20	9	0	0	1	9	27	3	35	32	6	6	3	0	3	3	5	29	11	7	7	0	0
OTU61	8	1	13	0	1	0	0	4	0	1	2	0	0	0	0	0	1	2	0	2	0	1	0	0
OTU62	5	7	34	4	4	90	0	6	4	1	4	106	2	1	3	1	14	8	4	30	8	4	0	1
OTU63	5	34	4	10	0	0	0	3	0	2	4	1	0	0	1	3	0	10	5	22	2	1	0	0
OTU64	5	1	1	0	0	0	0	2	0	2	4	1	0	1	0	0	0	2	1	1	0	0	0	0
OTU65	4	1	1	1	1	3	0	1	0	0	0	1	1	0	0	1	1	1	2	1	0	0	0	0
OTU66	2	5	9	6	10	14	1	5	9	4	13	24	4	1	1	6	2	13	14	19	14	0	0	1
OTU67	2	2	0	6	5	33	6	3	0	2	1	9	14	1	5	1	0	2	10	11	5	0	0	0
OTU68	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU69	466	148	569	139	197	1472	296	686	498	633	368	829	564	218	416	390	83	424	1907	2291	802	954	10	6
OTU70	764	210	665	237	336	1476	419	1009	486	1227	696	962	902	315	493	729	120	411	2757	3174	1067	1660	6	5
OTU71	31	4	20	5	2	100	33	35	23	19	15	57	29	9	27	274	6	26	50	99	63	39	0	0
OTU72	11	0	1	0	2	21	4	1	7	3	2	21	1	1	6	3	0	3	3	3	2	2	0	0
OTU73	7	0	4	4	2	9	4	6	10	4	3	7	2	0	7	8	1	1	17	18	8	9	0	0
OTU74	5	0	2	3	2	7	2	6	3	10	5	5	6	2	2	11	1	3	22	16	7	8	0	0
OTU75	3	0	15	3	1	191	3	12	80	4	2	111	8	4	78	1	2	75	20	43	57	4	0	0
OTU76	3	2	3	0	2	8	2	1	2	7	4	4	1	1	0	4	0	4	7	7	6	5	0	0
OTU77	2	3	3	0	2	10	6	10	7	4	1	8	9	2	1	2	0	2	26	26	9	9	0	0
OTU78	2	0	1	1	1	13	1	4	0	2	1	4	0	0	4	0	0	3	9	5	4	4	0	0
OTU79	2	1	0	0	0	2	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0
OTU80	2	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0
OTU81	2	0	2	0	0	27	0	1	9	0	1	10	2	0	2	0	0	8	3	6	0	2	0	0
OTU82	2	0	1	0	0	4	1	2	0	6	1	0	1	0	1	3	0	0	1	1	3	0	0	0
OTU83	2	1	6	0	1	7	3	7	5	11	3	7	9	0	4	1	0	2	17	29	4	9	0	0
OTU84	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	2	4	1	1	0	0	0
OTU85	1	1	0	0	0	1	0	1	1	5	2	1	0	0	0	1	0	1	0	0	0	2	0	0
OTU86	1	0	3	0	0	2	0	4	2	0	1	6	0	1	0	1	0	2	1	5	1	1	0	0
OTU87	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	5	0	0	1	0	2	8	0	0
OTU88	1	2	1	0	1	1	2	0	0	0	0	3	1	0	0	2	1	0	3	1	1	3	0	0
OTU89	1	0	6	0	0	2	0	3	0	6	2	3	0	0	1	1	0	1	2	7	2	2	0	0
OTU90	1	0	0	0	0	4	0	0	2	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0
OTU91	629	393	397	87	210	766	196	439	467	376	390	308	330	181	552	439	170	517	414	570	350	347	1	4
OTU92	101	52	50	4	24	56	21	49	29	37	40	16	30	16	50	58	25	47	46	77	23	40	0	0
OTU93	53	36	43	8	28	129	16	39	113	33	40	44	43	22	97	25	21	89	28	66	62	92	1	0
OTU94	39	23	25	2	13	61	13	18	19	19	20	20	9	2	21	14	6	30	5	22	11	30	0	1
OTU95	26	25	41	3	14	35	17	51	9	42	50	13	28	16	57	43	11	53	12	67	21	26	0	0
OTU96	19	4	7	1	2	20	1	3	4	2	4	7	5	2	9	10	0	7	19	20	7	3	0	0
OTU97	16	17	11	1	2	37	3	15	24	6	7	16	9	4	25	14	3	27	6	10	6	12	0	0
OTU98	5	3	14	2	2	61	2	14	50	3	1	46	2	2	42	0	0	32	2	6	10	3	0	0
OTU99	4	2	2	4	2	20	13	5	8	12	5	1	3	0	12	5	0	2	2	8	2	0	0	0
OTU100	3	2	4	1	0	15	1	1	8	1	2	3	7	0	6	2	1	7	6	11	5	7	0	0
OTU101	3	1	3	0	3	7	4	4	2	7	3	0	3	1	3	3	3	8	3	4	1	6	0	0
OTU102	3	0	0	0	0	4	0	0	2	0	0	0	0	0	3	1	0	1	1	0	2	0	0	0
OTU103	2	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
OTU104	2	3	4	0	0	3	4	0	4	2	1	2	1	4	2	6	0	3	4	2	1	1	0	0
OTU105	1	2	3	2	0	4	2	4	4	8	9	4	6	4	4	8	1	6	3	7	2	5	0	0
OTU106	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU107	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU108	1	0	0	1	0	2	0	2	1	3	2	1	0	1	0	0	0	1	1	1	1	1	0	0
OTU109	293	47	117	43	35	191	50	83	129	66	128	72	72	20	131	27	11	38	97	177	352	55	0	3
OTU110	363	129	91	159	35	184	572	752	55	41	257	29	766	197	36	158	74	756	80	479	144	14	0	1
OTU111	83	133	308	57	60	126	55	211	54	40	119	86	108	68	83	129	39	49	97	437	187	82	1	0
OTU112	28	1	5	1	1	4	1	4	8	0	6	5	1	0	3	2	0	2	3	8	19	0	0	0
OTU113	5	3	9	1	3	70	12	4	63	8	6	16	4	3	13	3	1	0	6	17	24	6	0	0
OTU114	5	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	0
OTU115	2	0	2	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	0
OTU116	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	5	0	0	0
OTU117	2	0	0	0	0	3	0	0	3	1	0	1	1	0	4	1	0	1	0	0	0	0	0	0
OTU118	1	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU119	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
OTU120	100	72	56	24	31	274	40	52	160	41	40	91	95	34	74	44	17	46	314	139	129	79	1	0
OTU121	122	90	56	26	21	33	26	71	28	39	44	21	87	41	24	71	20	23	110	171	40	50	0	0
