OTU	r	r1	p	c	o	f	g	s	s1
OTU1	root	cellular_organisms	Basidiomycota	NA	NA	NA	NA	NA	NA
OTU2	root	cellular_organisms	Basidiomycota	Pucciniomycetes	Pucciniales	NA	NA	NA	NA
OTU3	root	cellular_organisms	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	NA	NA
OTU4	root	cellular_organisms	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia_triticina	Puccinia_triticina_1-1_BBBD_Race_1
OTU5	root	cellular_organisms	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	NA	NA
OTU6	root	cellular_organisms	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora_lini	NA
OTU7	root	cellular_organisms	Basidiomycota	Agaricomycetes	NA	NA	NA	NA	NA
OTU8	root	cellular_organisms	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	Ceratobasidium_sp._423	NA
OTU9	root	cellular_organisms	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Clavulina_sp._PMI_390	NA
OTU10	root	cellular_organisms	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Perenniporia	Perenniporia_fraxinea	NA
OTU11	root	cellular_organisms	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes_pubescens	NA
OTU12	root	cellular_organisms	Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Dentipellis	Dentipellis_sp._KUC8613	NA
OTU13	root	cellular_organisms	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria_mellea	Armillaria_mellea_DSM_3731
OTU14	root	cellular_organisms	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	NA	NA
OTU15	root	cellular_organisms	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	Lentinula_boryana	NA
OTU16	root	cellular_organisms	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria_sp._LAT2_TL2844-KIS6	NA
OTU17	root	cellular_organisms	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_terrea	NA
OTU18	root	cellular_organisms	Basidiomycota	Exobasidiomycetes	Entylomatales	Tilletiopsis	Tilletiopsis_sp._TKC30	NA	NA
OTU19	root	cellular_organisms	Ascomycota	NA	NA	NA	NA	NA	NA
OTU20	root	cellular_organisms	Ascomycota	Sordariomycetes	NA	NA	NA	NA	NA
OTU21	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA	NA
OTU22	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	NA
OTU23	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_culmorum	NA
OTU24	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_poae	NA
OTU25	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	NA
OTU26	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	Fusarium_oxysporum_II5
OTU27	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_vanettenii	NA
OTU28	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_redolens	NA
OTU29	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria_macrodidyma	NA
OTU30	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria_estremocensis	NA
OTU31	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	NA	NA
OTU32	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria_sp.	NA
OTU33	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Thelonectria	Thelonectria_olida	NA
OTU34	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA	NA
OTU35	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_longibrachiatum	NA
OTU36	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_gamsii	NA
OTU37	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Emericellopsis	NA	NA
OTU38	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	NA	NA
OTU39	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys_rosea	NA
OTU40	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Stanjemonium	Stanjemonium_grisellum	NA	NA
OTU41	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	NA	NA
OTU42	root	cellular_organisms	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys_chlorohalonatus	Stachybotrys_chlorohalonatus_IBT_40285
OTU43	root	cellular_organisms	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Microascus	NA	NA
OTU44	root	cellular_organisms	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	NA	NA
OTU45	root	cellular_organisms	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	NA
OTU46	root	cellular_organisms	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	Sordaria_macrospora	Sordaria_macrospora_k-hell
OTU47	root	cellular_organisms	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora	NA	NA
OTU48	root	cellular_organisms	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Lasiosphaeriaceae_sp._AZ0830	NA	NA
OTU49	root	cellular_organisms	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA	NA
OTU50	root	cellular_organisms	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thermochaetoides	Thermochaetoides_thermophila	Thermochaetoides_thermophila_DSM_1495
OTU51	root	cellular_organisms	Ascomycota	Sordariomycetes	Sordariales	Schizotheciaceae	Pseudoechria	Pseudoechria_curvicolla	NA
OTU52	root	cellular_organisms	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	Podospora_tetraspora	NA
OTU53	root	cellular_organisms	Ascomycota	Sordariomycetes	Diaporthales	Cytosporaceae	Cytospora	Cytospora_mali	NA
OTU54	root	cellular_organisms	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_inconspicua	NA
OTU55	root	cellular_organisms	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Poronia	Poronia_punctata	NA
OTU56	root	cellular_organisms	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_sp._CBS_124048	NA
OTU57	root	cellular_organisms	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_intraflava	NA
OTU58	root	cellular_organisms	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia_vernicosa	NA
OTU59	root	cellular_organisms	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia_loculatoides	NA
OTU60	root	cellular_organisms	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_cercidicola	NA
OTU61	root	cellular_organisms	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_polyporus	NA
OTU62	root	cellular_organisms	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_sp._FL0890	NA
OTU63	root	cellular_organisms	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	Microdochium_bolleyi	NA
OTU64	root	cellular_organisms	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA	NA
OTU65	root	cellular_organisms	Ascomycota	Leotiomycetes	Helotiales	Helotiales_sp.	NA	NA	NA
OTU66	root	cellular_organisms	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis_cinerea	NA
OTU67	root	cellular_organisms	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis_cinerea	Botrytis_cinerea_B05.10
OTU68	root	cellular_organisms	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis_cinerea	Botrytis_cinerea_T4
OTU69	root	cellular_organisms	Ascomycota	Leotiomycetes	Helotiales	Rhexocercosporidium	Rhexocercosporidium_sp._MPI-PUGE-AT-0058	NA	NA
OTU70	root	cellular_organisms	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Cadophora	Cadophora_sp._M221	NA
OTU71	root	cellular_organisms	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Cadophora	Cadophora_sp.	NA
OTU72	root	cellular_organisms	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Cadophora	Cadophora_malorum	NA
OTU73	root	cellular_organisms	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae	Leptodontidium	NA	NA
OTU74	root	cellular_organisms	Ascomycota	Leotiomycetes	Helotiales	Godroniaceae	Atropellis	Atropellis_piniphila	NA
OTU75	root	cellular_organisms	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	NA	NA
OTU76	root	cellular_organisms	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe_pulchra	NA
OTU77	root	cellular_organisms	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Golovinomyces	Golovinomyces_cichoracearum	NA
